date,open_ibova,open_oil,open_usd,open_petr4,open_vale
04/01/2012,59263,10.97588062,15.51806545,21.82999992,41.15000153
05/01/2012,59354,11.11486244,15.75028992,22.18000031,42.18999863
06/01/2012,58565,11.04715347,15.73207569,22.38999939,42.50999832
09/01/2012,58601,11.18613434,15.84591198,22.46999931,42.29999924
10/01/2012,59090,11.32155037,15.95974731,22.44000053,41.79999924
11/01/2012,59799,11.35005856,16.15099144,22.94000053,42.27999878
12/01/2012,59966,11.25740623,16.10090256,22.88999939,41.40000153
13/01/2012,59918,11.39995003,16.25572014,22.98999977,42.15999985
16/01/2012,59146,11.33936787,16.25572014,22.95000076,41.27999878
17/01/2012,59961,11.15406132,16.22384644,23.04999924,40.33000183
18/01/2012,60643,11.20751476,16.27393341,23.64999962,40.70999908
19/01/2012,61726,11.22177029,16.3877697,23.81999969,42.75999832
20/01/2012,61932,11.39282227,16.68829536,24.39999962,43.47000122
23/01/2012,62312,11.42133141,16.75659561,24.10000038,42.99000168
24/01/2012,62386,11.47122192,16.8704319,24.09000015,42.84000015
26/01/2012,62486,11.39995003,16.46973038,25.04999924,42.61999893
27/01/2012,62955,11.67434692,16.48794365,25.72999954,43.40000153
30/01/2012,62902,11.65652943,16.5243721,25.07999992,43.13999939
31/01/2012,62772,11.57100201,16.27393341,24.43000031,42.61000061
01/02/2012,63085,11.36431408,16.20563126,24.75,43.93999863
02/02/2012,64569,11.25027943,16.0735836,24.70000076,45
03/02/2012,64589,11.12198925,16.16465187,24.87999916,45.34000015
06/02/2012,65217,11.13624287,16.0735836,24.46999931,45.22999954
07/02/2012,65213,11.24671459,16.23295212,24.48999977,45.66999817
08/02/2012,65918,11.26096916,16.29670143,24.71999931,45.65999985
09/02/2012,65831,11.3607502,16.57901382,25.64999962,45.84000015
10/02/2012,65525,11.28591537,16.80213165,25.47999954,45.36999893
13/02/2012,63999,11.01151657,16.51526451,24.23999977,44.40999985
14/02/2012,65699,11.16118908,16.52892494,23.5,44.79999924
15/02/2012,65041,11.1754427,17.05256844,24.36000061,45.16999817
16/02/2012,65364,11.15406132,17.02980232,23.48999977,44.72000122
17/02/2012,66158,10.85115623,16.43785667,22.95000076,42.86000061
23/02/2012,66084,11.08278942,16.64731407,24.10000038,43.79999924
24/02/2012,65820,10.90460968,16.39687538,23.68000031,42.66999817
27/02/2012,65938,10.86897373,16.48794365,24.14999962,44.18000031
28/02/2012,65245,10.7513752,16.35589409,24.64999962,43.95999908
29/02/2012,65970,10.79413795,16.25572014,24.51000023,43.70000076
01/03/2012,65812,11.04358959,16.71106148,24.5,44.5
02/03/2012,66810,11.16118908,16.69740105,24.51000023,43.77000046
